"YEAR","WEEK","CASES_NEW","CASES_MAT","CASES_ENC","CASES_WNC","CASES_SAT","CASES_ESC","CASES_WSC","CASES_MTN","CASES_PAC"
2003,1,8321,42788,131493,38418,99678,28452,280769,18081,74139
2003,2,8271,47455,121660,33184,89224,21112,208617,27436,89918
2003,3,17688,75782,160582,53594,114947,32724,272678,31650,123152
2003,4,24508,84782,295381,87306,206133,55091,468629,37475,136852
2003,5,33487,95464,393205,97629,299949,76394,430517,59971,167233
2003,6,57619,140189,449662,85778,357200,83742,310044,79594,265840
2003,7,68113,141375,404941,67027,402947,61769,259462,89563,277229
2003,8,66510,134815,383195,67007,368390,71439,96688,100539,352687
2003,9,54736,83771,278774,77578,261043,30718,60692,90141,333016
2003,10,43255,44931,192471,66471,205077,31214,120134,69817,308313
2003,11,36309,54852,135311,53075,164323,17005,44755,63304,282294
2003,12,19239,44505,105507,43340,133847,11684,30927,46583,325874
2003,13,13252,33620,60696,32792,100838,13121,13202,29347,198749
2003,14,10073,28532,49567,24993,60165,15795,11206,18919,143724
2003,15,6645,25283,28251,20522,49840,13190,8709,19933,102277
2003,16,6236,15088,17897,16035,29578,9250,7441,10341,70726
2003,17,5029,13557,12556,12386,25391,9514,3410,6298,66745
2003,18,4413,8735,6137,9393,12593,6852,2300,4238,30330
2003,19,4164,8552,4165,6321,11300,4356,1297,2512,27210
2003,20,2602,10046,4081,7271,3967,3623,1049,1915,25658
2003,21,1389,4557,2254,2897,4473,4334,5648,4564,20111
2003,22,1340,6743,2017,4060,2420,3165,4602,3054,12779
2003,23,515,4141,1705,1946,1647,2596,2761,2366,17535
2003,24,647,3323,1539,1083,2514,2047,1913,1447,10452
2003,25,1155,1985,876,589,2453,632,1244,704,9086
2003,26,782,1022,1097,420,3202,256,2161,870,3474
2003,27,482,627,858,340,3100,51,631,576,6588
2003,28,421,737,633,323,4118,106,756,470,5482
2003,29,270,421,304,255,4246,70,1001,275,5820
2003,30,221,491,289,154,5466,41,926,267,4803
2003,31,141,417,383,178,3441,17,413,298,3774
2003,32,149,414,355,136,5432,22,2586,329,3569
2003,33,50,532,253,77,3405,66,4829,410,3080
2003,34,30,716,229,75,2983,107,7196,845,3845
2003,35,54,617,276,83,2776,260,8392,1379,2376
2003,36,42,819,306,118,3190,648,12513,3064,9124
2003,37,32,1159,378,355,3018,646,21807,4477,8785
2003,38,58,1861,759,747,4796,218,27473,7828,14556
2003,39,608,3562,1528,1195,9244,287,60189,13320,15337
2003,40,1168,3743,9008,2778,9204,7432,75802,9480,10612
2003,41,1616,6756,13581,6326,19615,11251,99294,14526,17772
2003,42,3384,9651,18816,9262,27459,16827,141849,20429,42966
2003,43,5006,12365,29962,14983,43710,24831,287128,22431,48386
2003,44,8920,28279,42208,16815,72071,38928,578927,38848,62658
2003,45,13049,34142,63612,22926,119576,60316,1018522,51080,118544
2003,46,18369,55904,110312,42019,183309,91167,949544,135409,163576
2003,47,30970,75941,169488,54710,279286,112636,1036342,228594,395372
2003,48,47853,100209,284894,163860,488560,169265,916149,329368,676653
2003,49,75994,159890,401306,217340,669932,223981,773536,303885,714868
2003,50,176108,273172,723776,459239,1107054,299889,765466,229677,837618
2003,51,243851,369224,834120,389420,1230483,320732,567164,175314,661708
2003,52,264130,374570,836387,431372,1270878,314889,365105,144151,558432
2003,53,194358,243453,478507,157615,779219,185860,198922,77661,368533
2004,1,116630,124111,187950,74755,372516,98070,95511,26572,201761
2004,2,66311,79731,116577,42186,242857,51913,63428,18685,98987
2004,3,47340,51024,86421,37359,189128,36919,39585,17011,72776
2004,4,25499,37310,57919,23736,129910,41427,26488,10016,43787
2004,5,17873,26668,41647,15614,74862,32632,12936,7520,32681
2004,6,13816,26205,26339,12505,48163,22824,9240,4287,22250
2004,7,11797,20934,16368,8824,40973,14333,5028,3141,13267
2004,8,8398,13578,11584,5840,25433,6871,2433,1535,8607
2004,9,6073,10592,8338,4274,16794,5248,2393,1244,5515
2004,10,6047,12007,7266,3607,15396,3206,1047,928,5533
2004,11,5321,11874,5753,1516,9336,2642,846,944,5025
2004,12,4697,10605,5483,1304,5303,2092,444,856,2820
2004,13,4189,12976,3491,479,3499,1508,327,733,2533
2004,14,2306,10467,3542,382,2573,1320,331,904,2354
2004,15,2421,8564,3587,264,2906,1020,292,905,2673
2004,16,2441,8537,2966,91,2305,971,331,789,2371
2004,17,1453,7280,2223,75,1736,777,385,599,1995
2004,18,1160,5684,2309,80,1793,692,623,714,1928
2004,19,301,4884,1912,30,1905,579,361,801,2314
2004,20,1580,5248,1806,15,1843,413,569,690,2411
2004,21,554,3137,1654,13,2315,248,324,333,3146
2004,22,418,2350,1484,6,1294,204,638,429,7031
2004,23,237,2038,876,5,1030,88,965,167,6696
2004,24,118,1179,695,1,1109,47,856,196,5392
2004,25,144,753,464,1,1696,26,625,140,2737
2004,26,73,220,320,1,752,13,606,105,2064
2004,27,53,462,261,1,788,7,2519,346,2971
2004,28,41,773,215,3,1593,4,1377,311,1895
2004,29,23,736,237,5,437,5,2229,316,1403
2004,30,44,1027,361,15,749,11,2005,320,910
2004,31,89,965,214,36,1834,18,1071,334,1863
2004,32,170,1777,759,64,2622,34,885,518,574
2004,33,426,1524,1031,109,1301,70,2253,615,665
2004,34,258,1829,1927,160,1342,118,1529,1254,1974
2004,35,285,2280,2099,238,3334,187,1290,1830,2400
2004,36,198,3679,2861,591,1771,286,1055,972,2713
2004,37,381,4347,3641,865,3814,356,1016,1211,5919
2004,38,342,6037,4720,1222,3077,476,1065,1607,3857
2004,39,424,4605,5523,1791,5724,612,402,1791,7281
2004,40,835,12083,6498,1629,4294,499,942,2178,6923
2004,41,1237,12623,8522,2175,6852,806,854,2773,7107
2004,42,1139,13754,10121,2977,8044,1175,1738,2833,10163
2004,43,1498,19854,14686,3495,11580,1416,1359,3822,21536
2004,44,2267,24614,20367,5079,13420,2280,2345,5421,22284
2004,45,4481,30097,27021,7182,15759,4353,3720,7018,28264
2004,46,4188,46172,35478,8928,16759,7144,6021,7882,34819
2004,47,7066,57504,57435,14014,33213,11498,11051,11336,51999
2004,48,11063,61888,59104,13787,41038,14220,21427,9221,47379
2004,49,15733,94773,78057,19047,51760,19936,24928,11559,64614
2004,50,20230,124775,93992,28448,73688,31354,35025,16519,84538
2004,51,43815,218895,143512,51648,104919,47963,78168,27579,131296
2004,52,70222,229220,221393,58073,156125,64908,83135,39704,225022
2005,1,67833,220259,226835,79081,138455,58549,107012,39311,187450
2005,2,61538,229327,248298,103434,141316,65612,143096,48575,276225
2005,3,65198,226210,320363,146321,192863,97986,215936,54160,319934
2005,4,61424,251341,401943,173153,315717,138659,337642,65837,368857
2005,5,59618,274630,535716,220431,463252,229908,693601,78245,419905
2005,6,62205,299335,588663,238241,590468,299793,699102,92329,450611
2005,7,46378,285803,569033,199995,689007,345941,692629,98799,452268
2005,8,36686,262266,462843,141087,540871,352110,531851,87073,393251
2005,9,28896,203101,345047,107247,449961,321287,330545,65930,279523
2005,10,23316,182114,254987,74811,435360,282555,261175,56167,239675
2005,11,19879,142838,189544,63975,367854,186837,174005,44509,178358
2005,12,13583,126116,131976,49313,269809,166839,95730,38156,163876
2005,13,12869,80384,93596,32456,180706,103257,67108,26209,134343
2005,14,9018,48761,51341,22060,114237,71001,41591,22651,103907
2005,15,5698,36222,37908,14725,89821,56400,29379,18157,105886
2005,16,4420,27472,27103,10113,73481,39584,24248,13566,47439
2005,17,3465,19800,16361,6904,45814,33983,14907,12975,53347
2005,18,2563,14594,11456,5140,31750,23355,8205,8594,45386
2005,19,831,12001,9089,3366,23624,15560,7019,9811,39842
2005,20,633,7685,5848,2641,13679,9961,3957,6732,40232
2005,21,627,3506,4588,1619,8879,5689,3984,5809,31819
2005,22,276,4018,4124,1488,5773,4285,3880,7358,24007
2005,23,279,3955,1671,906,3605,1712,3300,4682,21705
2005,24,160,2598,1633,511,1902,851,2960,3649,20243
2005,25,133,2538,1274,251,943,442,2849,2970,13226
2005,26,110,2310,873,50,622,180,2989,1581,11287
2005,27,100,1133,761,36,407,84,2672,1217,7966
2005,28,137,1933,463,28,382,24,3359,699,5631
2005,29,105,1894,427,27,405,9,3030,324,6257
2005,30,97,1659,353,9,438,3,3517,158,5167
2005,31,81,1896,311,12,899,0,2999,104,5076
2005,32,93,1591,362,3,1136,0,2568,111,2878
2005,33,119,1180,373,2,774,0,2140,79,5367
2005,34,93,318,384,3,1445,0,4061,93,4488
2005,35,49,964,410,5,1705,1,6840,90,5827
2005,36,73,1383,533,6,2420,4,4238,117,9697
2005,37,48,906,529,7,3107,7,4892,99,7840
2005,38,53,1154,646,37,3342,19,5139,191,11079
2005,39,59,1016,717,40,3920,58,4641,334,11886
2005,40,145,1927,1198,208,3081,80,2764,1984,17599
2005,41,161,1912,2248,257,3780,208,4300,1852,17787
2005,42,259,1695,3787,390,3822,473,5827,3621,21340
2005,43,349,2125,5564,779,4567,789,8055,5321,24293
2005,44,466,3435,9244,1100,5570,1536,12206,8794,43718
2005,45,879,4567,12477,1430,8744,2269,20569,17297,39184
2005,46,1198,5770,17833,2281,11596,3449,30302,21887,70621
2005,47,2004,9651,30972,4044,17675,6420,41330,24806,107685
2005,48,2142,15412,35151,5295,19493,7331,51677,34890,113559
2005,49,3280,19394,38982,6103,31391,13356,74070,49938,175917
2005,50,4262,27296,50914,7326,45534,14229,129574,85672,284952
2005,51,5158,41109,72091,13768,62724,21661,240499,126649,450306
2005,52,10082,69836,113798,18975,93483,42941,325257,157952,345621
2006,1,9156,68886,122839,20478,117474,36105,300969,117280,227200
2006,2,11064,78937,116332,22494,110270,45733,289897,76975,145525
2006,3,12937,101176,125380,29940,137494,51135,398598,71176,149666
2006,4,18445,111027,146449,42354,186644,69111,361204,64891,182187
2006,5,25065,120225,168704,49680,248527,78412,362969,70774,169590
2006,6,32429,150066,207584,56845,318461,113816,324433,60864,132965
2006,7,41482,155484,232444,63255,432769,121877,414583,61300,167137
2006,8,46787,163461,264463,76164,473229,140591,399618,72497,127629
2006,9,51116,155059,257929,75613,405609,175098,403206,69360,105859
2006,10,52552,191459,259484,84695,337235,156847,312742,65285,162812
2006,11,47872,163207,206003,79495,325775,116517,218958,59228,173718
2006,12,42220,152145,162508,84881,202151,95747,204104,50748,200670
